Date,open,high,low,close,volume,overnightSHIBOR,CPI,GDP,PPI
10/25/2010,3386.85,3481.347,3366.43,3481.081,14543310500,1.5829,0.6,106238.7,0.6
10/26/2010,3491.474,3499.817,3436.463,3466.084,14263699900,1.5283,0.6,106238.7,0.6
10/27/2010,3451.427,3490.217,3398.095,3403.872,12376157000,1.5233,0.6,106238.7,0.6
10/28/2010,3390.426,3420.885,3371.439,3397.692,9834945600,1.5238,0.6,106238.7,0.6
10/29/2010,3400.262,3404.6,3351.601,3379.983,10045897000,1.5842,0.6,106238.7,0.6
11/1/2010,3390.413,3472.995,3390.413,3472.995,12626914800,1.5833,0.7,106238.7,0.7
11/2/2010,3484.232,3522.175,3449.724,3463.131,15491145000,1.5788,0.7,106238.7,0.7
11/3/2010,3462.74,3474.707,3419.08,3420.341,12635930300,1.5738,0.7,106238.7,0.7
11/4/2010,3426.46,3480.929,3419.643,3480.505,11679948100,1.5592,0.7,106238.7,0.7
11/5/2010,3538.988,3554.47,3498.276,3520.798,13768802700,1.5325,0.7,106238.7,0.7
11/8/2010,3534.191,3549.305,3506.375,3548.566,12647075900,1.5288,0.7,106238.7,0.7
11/9/2010,3547.44,3547.44,3498.623,3523.954,12245453300,1.5208,0.7,106238.7,0.7
11/10/2010,3507.195,3508.275,3470.968,3499.111,12007857800,1.5188,0.7,106238.7,0.7
11/11/2010,3490.738,3557.987,3484.891,3509.975,13897623300,1.52,0.7,106238.7,0.7
11/12/2010,3484.606,3497.061,3284.348,3291.833,16073385000,1.5258,0.7,106238.7,0.7
11/15/2010,3298.737,3319.976,3241.758,3314.893,10231572400,1.5921,0.7,106238.7,0.7
11/16/2010,3311.616,3311.616,3155.475,3169.538,10830707200,1.6508,0.7,106238.7,0.7
11/17/2010,3124.109,3168.931,3087.507,3103.906,8325808000,1.7292,0.7,106238.7,0.7
11/18/2010,3134.937,3158.629,3097.388,3147.962,6569729200,1.8029,0.7,106238.7,0.7
11/19/2010,3168.165,3178.846,3076.213,3178.846,8334765400,1.8188,0.7,106238.7,0.7
11/22/2010,3148.215,3200.472,3137.751,3171.941,8321277600,1.96,0.7,106238.7,0.7
11/23/2010,3156.478,3156.478,3061.623,3107.176,7739959100,1.9815,0.7,106238.7,0.7
11/24/2010,3088.992,3177.412,3088.992,3177.043,7533208300,1.9055,0.7,106238.7,0.7
11/25/2010,3197.965,3227.054,3172.282,3223.484,8344209400,1.8913,0.7,106238.7,0.7
11/26/2010,3214.132,3224.517,3170.364,3194.853,6446782400,1.8925,0.7,106238.7,0.7
11/29/2010,3183.54,3206.756,3159.459,3190.05,5899489200,1.9217,0.7,106238.7,0.7
11/30/2010,3187.529,3205.782,3060.438,3136.985,8576235500,2.13,1.1,106238.7,1.4
12/1/2010,3127.262,3150.436,3111.645,3136.024,4888266800,2.23,1.1,106238.7,1.4
12/2/2010,3185.76,3194.226,3154.32,3155.059,6102390800,2.2372,1.1,106238.7,1.4
12/3/2010,3161.93,3171.378,3134.419,3158.156,5047535400,1.9982,1.1,106238.7,1.4
12/6/2010,3168.875,3185.332,3140.555,3165.57,5636263000,1.88,1.1,106238.7,1.4
12/7/2010,3152.733,3214.691,3112.223,3200.339,5848365300,1.9858,1.1,106238.7,1.4
12/8/2010,3194.895,3215.281,3166.766,3171.882,5951566300,2.0979,1.1,106238.7,1.4
12/9/2010,3155.996,3175.052,3122.196,3123.366,6615296500,2.0092,1.1,106238.7,1.4
12/10/2010,3107.379,3172.163,3101.083,3161.977,5710810500,2.0108,1.1,106238.7,1.4
12/13/2010,3176.335,3261.344,3173.564,3261.061,9571373900,2.0067,1.1,106238.7,1.4
12/14/2010,3270.201,3279.365,3254.181,3269.474,8410424100,1.9985,1.1,106238.7,1.4
12/15/2010,3270.781,3282.772,3242.516,3247.644,7226978500,2.0158,1.1,106238.7,1.4
12/16/2010,3246.013,3258.394,3224.122,3230.665,5679962500,2.0008,1.1,106238.7,1.4
12/17/2010,3229.297,3232.839,3212.579,3225.661,4491914700,1.9954,1.1,106238.7,1.4
12/20/2010,3239.022,3249.763,3117.998,3178.657,7475969300,2.1035,1.1,106238.7,1.4
12/21/2010,3184.7,3251.551,3168.889,3249.509,7985242000,2.3521,1.1,106238.7,1.4
12/22/2010,3253.821,3263.45,3201.669,3215.453,6993625800,2.5533,1.1,106238.7,1.4
12/23/2010,3210.67,3237.644,3183.152,3188.607,6131584700,3.255,1.1,106238.7,1.4
12/24/2010,3170.642,3187.724,3139.454,3162.955,5513776700,4.2583,1.1,106238.7,1.4
12/27/2010,3176.107,3219.655,3092.263,3099.709,7001710700,4.5079,1.1,106238.7,1.4
12/28/2010,3084.823,3095.358,3041.328,3044.931,5632574900,4.5954,1.1,106238.7,1.4
12/29/2010,3049.928,3062.557,3025.22,3061.83,4519277500,4.7588,1.1,106238.7,1.4
12/30/2010,3063.05,3079.909,3027.898,3064.098,5428142900,5.0996,1.1,106238.7,1.4
12/31/2010,3069.053,3129.446,3067.108,3128.261,6256607800,4.5217,0.5,119642.5,0.7
1/4/2011,3155.557,3194.358,3143.604,3189.682,8541044000,2.9308,0.5,119642.5,0.7
1/5/2011,3170.181,3193.779,3158.871,3175.662,7926881000,2.68,0.5,119642.5,0.7
1/6/2011,3177.835,3198.052,3152.572,3159.643,5968109200,2.1804,0.5,119642.5,0.7
1/7/2011,3156.362,3209.9,3141.125,3166.624,8409323300,2.12,0.5,119642.5,0.7
1/10/2011,3162.085,3182.782,3102.428,3108.187,6549440600,2.01,0.5,119642.5,0.7
1/11/2011,3096.249,3131.292,3084.513,3124.922,5698591700,1.98,0.5,119642.5,0.7
1/12/2011,3135.18,3153.43,3099.413,3142.337,5849851800,1.9625,0.5,119642.5,0.7
1/13/2011,3153.985,3157.036,3127.158,3141.284,5193698800,1.9157,0.5,119642.5,0.7
1/14/2011,3129.667,3129.667,3083.511,3091.862,5335143900,1.9217,0.5,119642.5,0.7
1/17/2011,3067.433,3078.88,2968.61,2974.35,6680756200,1.9258,0.5,119642.5,0.7
1/18/2011,2965.424,2984.47,2947.6,2977.648,4296456400,1.9971,0.5,119642.5,0.7
1/19/2011,2978.457,3045.605,2967.243,3044.851,5657194200,2.6275,0.5,119642.5,0.7
1/20/2011,3037.862,3037.862,2944.498,2944.713,6104664300,5.7083,0.5,119642.5,0.7
1/21/2011,2935.233,3030.265,2935.138,2983.456,7310296600,5.7242,0.5,119642.5,0.7
1/24/2011,2986.092,2999.201,2943.92,2954.232,6547254500,5.0408,0.5,119642.5,0.7
1/25/2011,2949.647,2960.587,2919.162,2938.654,4898268900,7.2042,0.5,119642.5,0.7
1/26/2011,2939.773,2982.322,2939.356,2978.431,4337497900,7.7608,0.5,119642.5,0.7
1/27/2011,2953.589,3037.159,2935.271,3026.466,8258591900,7.9997,0.5,119642.5,0.7
1/28/2011,3020.122,3047.266,3011.375,3036.735,6301358900,7.6992,0.5,119642.5,0.7
1/31/2011,3035.418,3076.547,3032.449,3076.508,6710591400,5.0142,1,119642.5,0.87
2/1/2011,3083.493,3087.225,3062.83,3077.283,4986253000,3.3458,1,119642.5,0.87
2/9/2011,3055.398,3087.551,3031.749,3040.949,6039414500,3.8475,1,119642.5,0.87
2/10/2011,3034.079,3105.324,3024.349,3104.163,6660366200,2.8758,1,119642.5,0.87
2/11/2011,3100.274,3133.499,3092.582,3120.956,7597555300,2.885,1,119642.5,0.87
2/14/2011,3123.246,3227.432,3123.246,3219.143,12130233100,2.31,1,119642.5,0.87
2/15/2011,3223.222,3259.639,3215.619,3217.671,10955443800,2.31,1,119642.5,0.87
2/16/2011,3211.135,3248.849,3195.467,3248.527,9133428300,2.3008,1,119642.5,0.87
2/17/2011,3255.626,3265.257,3218.913,3245.907,8896469500,2.1867,1,119642.5,0.87
2/18/2011,3240.051,3242.374,3203.12,3211.876,7537868400,2.1075,1,119642.5,0.87
2/21/2011,3192.146,3258.28,3189.848,3257.908,7939977600,2.1783,1,119642.5,0.87
2/22/2011,3267.615,3269.048,3161.833,3163.578,10786374100,2.0167,1,119642.5,0.87
2/23/2011,3152.441,3182.185,3145.986,3174.742,7132485400,1.995,1,119642.5,0.87
2/24/2011,3170.236,3195.688,3157.969,3190.935,6648689300,2.2892,1,119642.5,0.87
2/25/2011,3190.872,3213.792,3159.847,3197.617,6161927500,2.7028,1,119642.5,0.87
2/28/2011,3200.677,3241.597,3178.831,3239.559,7663066300,2.3783,1.235,119642.5,0.85
3/1/2011,3241.714,3273.511,3235.754,3254.893,8856695400,2.1875,1.235,119642.5,0.85
3/2/2011,3237.116,3257.419,3202.833,3243.298,8091064100,2.0183,1.235,119642.5,0.85
3/3/2011,3248.156,3271.64,3221.038,3221.718,10121999700,1.9419,1.235,119642.5,0.85
3/4/2011,3223.507,3273.658,3217.477,3270.666,8001391500,1.8933,1.235,119642.5,0.85
3/7/2011,3287.405,3337.466,3287.405,3334.51,11818719700,1.7858,1.235,119642.5,0.85
3/8/2011,3335.71,3342.711,3311.722,3337.457,8487865500,1.6917,1.235,119642.5,0.85
3/9/2011,3344.1,3355.487,3322.698,3338.858,7802636100,1.6875,1.235,119642.5,0.85
3/10/2011,3330.444,3330.444,3279.33,3280.259,7821264200,1.6792,1.235,119642.5,0.85
3/11/2011,3263.081,3290.7,3240.181,3247.376,6720833500,1.6858,1.235,119642.5,0.85
3/14/2011,3238.905,3263.906,3230.114,3262.92,6368978300,1.6875,1.235,119642.5,0.85
3/15/2011,3250.595,3250.595,3147.957,3203.961,9603397900,1.6804,1.235,119642.5,0.85
3/16/2011,3204.919,3250.878,3202.931,3248.195,7885952000,1.6783,1.235,119642.5,0.85
3/17/2011,3216.288,3240.381,3185.084,3197.1,8568711400,1.6733,1.235,119642.5,0.85
3/18/2011,3228.915,3239.963,3205.144,3215.685,6134016100,1.6692,1.235,119642.5,0.85
3/21/2011,3220.677,3236.279,3194.145,3207.11,5910503700,1.9242,1.235,119642.5,0.85
3/22/2011,3217.8,3227.797,3175.93,3222.961,5724868400,1.9158,1.235,119642.5,0.85
3/23/2011,3222.325,3267.004,3216.653,3264.926,7207758500,1.8992,1.235,119642.5,0.85
3/24/2011,3269.575,3273.37,3250.023,3251.361,6130424400,1.879,1.235,119642.5,0.85
3/25/2011,3256.179,3304.264,3254.683,3294.484,8689597900,1.8675,1.235,119642.5,0.85
3/28/2011,3307.405,3328.07,3286.856,3290.571,9768430000,1.7883,1.235,119642.5,0.85
3/29/2011,3288.564,3309.199,3256.337,3257.979,10528016400,1.7883,1.235,119642.5,0.85
3/30/2011,3256.722,3274.977,3233.109,3256.08,7833633700,1.7858,1.235,119642.5,0.85
3/31/2011,3257.164,3264.956,3210.174,3223.288,6450388000,1.7992,-0.207,104641.3,0.62
4/1/2011,3227.564,3272.768,3220.911,3272.729,6309472200,1.7922,-0.207,104641.3,0.62
4/6/2011,3269.19,3315.299,3268.765,3311.067,10582367400,1.7829,-0.207,104641.3,0.62
4/7/2011,3313.467,3330.805,3302.818,3324.419,8468176200,1.7717,-0.207,104641.3,0.62
4/8/2011,3321.54,3353.889,3314.089,3353.358,7392921000,1.7663,-0.207,104641.3,0.62
4/11/2011,3363.37,3380.527,3331.174,3333.427,10442054500,1.7571,-0.207,104641.3,0.62
4/12/2011,3324.754,3350.156,3307.476,3326.771,10193850600,1.7452,-0.207,104641.3,0.62
4/13/2011,3311.324,3372.031,3296.507,3372.031,8703633800,1.7361,-0.207,104641.3,0.62
4/14/2011,3374.324,3378.703,3347.488,3353.56,8897224100,1.7338,-0.207,104641.3,0.62
4/15/2011,3345.134,3378.106,3323.563,3358.944,7851487400,1.7282,-0.207,104641.3,0.62
4/18/2011,3346.149,3372.9,3335.599,3359.438,8658262400,1.7629,-0.207,104641.3,0.62
4/19/2011,3334.912,3334.912,3290.736,3295.812,8510693300,1.7637,-0.207,104641.3,0.62
4/20/2011,3300.418,3311.725,3281.827,3295.758,7234331800,1.7569,-0.207,104641.3,0.62
4/21/2011,3312.271,3330.244,3301.936,3317.367,7324042400,3.5333,-0.207,104641.3,0.62
4/22/2011,3317.083,3325.459,3291.638,3299.942,6717145500,3.0775,-0.207,104641.3,0.62
4/25/2011,3292.48,3292.48,3247.691,3249.574,7442182900,2.6958,-0.207,104641.3,0.62
4/26/2011,3242.529,3257.8,3216.21,3230.96,5909641700,2.6792,-0.207,104641.3,0.62
4/27/2011,3242.619,3256.413,3189.04,3209.503,6244356700,2.0233,-0.207,104641.3,0.62
4/28/2011,3224.413,3237.192,3160.406,3161.776,6505023500,2.0242,-0.207,104641.3,0.62
4/29/2011,3161.158,3193.599,3147.137,3192.723,5368306500,2.4992,-0.207,104641.3,0.62
5/3/2011,3192.845,3212.055,3164.926,3211.132,5499891000,2.5525,0.138,104641.3,0.55
5/4/2011,3192.844,3193.446,3120.961,3129.028,6671634000,2.5167,0.138,104641.3,0.55
5/5/2011,3115.003,3136.897,3105.854,3126.117,5256774700,1.9942,0.138,104641.3,0.55
5/6/2011,3093.809,3141.683,3083.908,3121.396,5535218600,1.9938,0.138,104641.3,0.55
5/9/2011,3126.26,3149.937,3118.141,3129.759,4602740400,2.12,0.138,104641.3,0.55
5/10/2011,3135.146,3153.301,3121.746,3153.221,4093299500,2.11,0.138,104641.3,0.55
5/11/2011,3153.648,3164.65,3127.494,3145.085,4768853300,2.1006,0.138,104641.3,0.55
5/12/2011,3123.158,3142.397,3101.136,3101.603,4879950100,2.0858,0.138,104641.3,0.55
5/13/2011,3105.303,3128.442,3080.19,3128.093,4689595100,2.0892,0.138,104641.3,0.55
5/16/2011,3120.436,3137.604,3098.776,3100.463,4519431900,2.0908,0.138,104641.3,0.55
5/17/2011,3097.071,3136.231,3076.946,3116.028,5120373100,2.0992,0.138,104641.3,0.55
5/18/2011,3109.294,3145.698,3106.552,3139.379,3964176800,3.1492,0.138,104641.3,0.55
5/19/2011,3148.353,3154.935,3118.619,3120.639,4311078200,3.5467,0.138,104641.3,0.55
5/20/2011,3120.579,3133.429,3113.271,3121.596,3846801200,4.005,0.138,104641.3,0.55
5/23/2011,3115.312,3115.312,3021.45,3022.98,5590247200,4.0008,0.138,104641.3,0.55
5/24/2011,3013.715,3029.746,2999.885,3026.223,4160894400,4.4767,0.138,104641.3,0.55
5/25/2011,3020.323,3030.988,2988.094,2990.343,3928970400,4.9992,0.138,104641.3,0.55
5/26/2011,3011.466,3021.203,2977.596,2978.381,3700374700,4.8533,0.138,104641.3,0.55
5/27/2011,2980.721,2996.605,2962.067,2963.308,4277090500,2.8362,0.138,104641.3,0.55
5/30/2011,2956.575,2982.583,2942.361,2954.506,3467116000,2.55,0.138,104641.3,0.55
5/31/2011,2958.607,3001.727,2946.146,3001.556,3968939900,3.8433,0.074,104641.3,0.34
6/1/2011,2996.085,3006.556,2985.711,3004.173,3841932700,3.1454,0.074,104641.3,0.34
6/2/2011,2970.634,2984.491,2923.016,2955.705,5261786700,2.8436,0.074,104641.3,0.34
6/3/2011,2951.579,2993.895,2951.201,2986.349,3907616400,2.505,0.074,104641.3,0.34
6/7/2011,2977.681,3006.569,2974.361,3004.262,3685233200,2.9967,0.074,104641.3,0.34
6/8/2011,3003.581,3012.806,2965.923,3008.652,4290875800,3.6663,0.074,104641.3,0.34
